Número da pesquisa,Título,Link da pesquisa,Data,Local,Instituto de pesquisa,contém_religião,método_detecção
83,MANDATO PRESIDENCIAL E REGIME DE GOVERNO,https://www.cesop.unicamp.br/por/banco_de_dados/v/114,05/1988,CAPITAIS (VÁRIAS),DATAFOLHA,False,IA_timeout
85,CORRUPÇÃO NO GOVERNO QUÉRCIA - (SP),https://www.cesop.unicamp.br/por/banco_de_dados/v/116,05/1988,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA
86,ASSEMBLÉIA LEGISLATIVA - BELO HORIZONTE,https://www.cesop.unicamp.br/por/banco_de_dados/v/117,05/1988,BELO HORIZONTE/MG,DATAFOLHA,False,IA
89,"EMPRESÁRIOS ""AVALIAÇÃO DA POLÍTICA INDUSTRIAL""",https://www.cesop.unicamp.br/por/banco_de_dados/v/119,06/1988,CAPITAIS (VÁRIAS),DATAFOLHA,False,IA
90,JOGO DO BICHO,https://www.cesop.unicamp.br/por/banco_de_dados/v/120,06/1988,SÃO PAULO-CAP/SP E RIO DE JANEIRO-CAP/RJ,DATAFOLHA,False,IA_timeout
91,PORTE DE ARMAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/121,06/1988,SÃO PAULO-CAP/SP E RIO DE JANEIRO-CAP/RJ,DATAFOLHA,True,regex
92,90 ANOS DE CINEMA BRASILEIRO,https://www.cesop.unicamp.br/por/banco_de_dados/v/122,06/1988,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
93,AVALIAÇÃO MAÍLSON DA NÓBREGA,https://www.cesop.unicamp.br/por/banco_de_dados/v/123,06/1988,CAPITAIS (VÁRIAS),DATAFOLHA,False,IA_timeout
94,AVALIAÇÃO DE PERSONALIDADES - A,https://www.cesop.unicamp.br/por/banco_de_dados/v/124,06/1988,SÃO PAULO-CAP/SP,DATAFOLHA,True,regex
95,AVALIAÇÃO DE PERSONALIDADES - B,https://www.cesop.unicamp.br/por/banco_de_dados/v/125,06/1988,SÃO PAULO-CAP/SP,DATAFOLHA,True,regex
96,AVALIAÇÃO DE PERSONALIDADES - C,https://www.cesop.unicamp.br/por/banco_de_dados/v/126,06/1988,SÃO PAULO-CAP/SP,DATAFOLHA,True,regex
97,EMANCIPAÇÃO DA BARRA DA TIJUCA / RIO DE JANEIRO,https://www.cesop.unicamp.br/por/banco_de_dados/v/127,06/1988,RIO DE JANEIRO-CAP/RJ,DATAFOLHA,False,IA_timeout
100,TEMAS POLÊMICOS DA CONSTITUINTE,https://www.cesop.unicamp.br/por/banco_de_dados/v/128,07/1988,CAPITAIS (VÁRIAS),DATAFOLHA,False,IA_timeout
101,FÉRIAS EM SÃO PAULO,https://www.cesop.unicamp.br/por/banco_de_dados/v/129,07/1988,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
102,PRONUNCIAMENTO SARNEY / ULYSSES,https://www.cesop.unicamp.br/por/banco_de_dados/v/130,07/1988,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
104,CONSTITUINTE VII - MANDATO SARNEY,https://www.cesop.unicamp.br/por/banco_de_dados/v/132,05/1988,DISTRITO FEDERAL/DF,DATAFOLHA,False,IA_timeout
106,BRASILEIROS CLANDESTINOS NO EXTERIOR,https://www.cesop.unicamp.br/por/banco_de_dados/v/134,08/1988,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
107,EDITORAS NACIONAIS,https://www.cesop.unicamp.br/por/banco_de_dados/v/135,08/1988,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
108,NOVA CONSTITUINTE,https://www.cesop.unicamp.br/por/banco_de_dados/v/136,09/1988,CAPITAIS (VÁRIAS),DATAFOLHA,False,IA
109,COMÉRCIO AOS DOMINGOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/137,09/1988,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
110,PROIBIÇÃO DA DIVULGAÇÃO DE PESQUISA ELEITORAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/138,10/1988,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
111,INTENÇÃO DE VOTO PARA PREFEITO 1988 - VI,https://www.cesop.unicamp.br/por/banco_de_dados/v/139,10/1988,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
112,INTENÇÃO DE VOTO PARA PREFEITO 1988 - VII,https://www.cesop.unicamp.br/por/banco_de_dados/v/140,10/1988,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
113,TABACO,https://www.cesop.unicamp.br/por/banco_de_dados/v/141,10/1988,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
114,SE LIGA RIO,https://www.cesop.unicamp.br/por/banco_de_dados/v/142,10/1988,RIO DE JANEIRO-CAP/RJ,DATAFOLHA,False,IA_timeout
115,AVALIAÇÃO SARNEY / PRÉ - PRESIDENCIAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/143,10/1988,CAPITAIS (VÁRIAS),DATAFOLHA,False,IA_timeout
116,ELEIÇÕES PRESIDENCIAIS NOS EUA,https://www.cesop.unicamp.br/por/banco_de_dados/v/144,10/1988,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
117,EXPECTATIVA GOVERNO ERUNDINA,https://www.cesop.unicamp.br/por/banco_de_dados/v/306,11/1988,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
118,CENSURA NA TV/ ERUNDINA,https://www.cesop.unicamp.br/por/banco_de_dados/v/315,11/1988,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
120,VERÃO 88,https://www.cesop.unicamp.br/por/banco_de_dados/v/1745,11/1988,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
121,30 ANOS DE REVOLUÇÃO CUBANA,https://www.cesop.unicamp.br/por/banco_de_dados/v/319,12/1988,SÃO PAULO-CAP/SP,DATAFOLHA,True,regex
122,MEDIDAS POLÊMICAS JÂNIO X ERUNDINA,https://www.cesop.unicamp.br/por/banco_de_dados/v/320,12/1988,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
123,EMPRESÁRIOS: A DÉCADA PERDIDA,https://www.cesop.unicamp.br/por/banco_de_dados/v/321,12/1988,BRASIL,DATAFOLHA,False,IA_timeout
124,CEM ANOS DE REPÚBLICA,https://www.cesop.unicamp.br/por/banco_de_dados/v/323,12/1988,CAPITAIS (VÁRIAS),DATAFOLHA,False,IA_timeout
125,EXPECTATIVAS COM OS NOVOS PREFEITOS / AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/324,12/1988,RIBEIRÃO PRETO/SP,DATAFOLHA,False,IA_timeout
126,40 ANOS DA DECLARAÇÃO DOS DIREITOS HUMANOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/325,12/1988,SÃO PAULO-CAP/SP,DATAFOLHA,True,regex
127,POTENCIAL TURÍSTICO DA CIDADE DE SÃO PAULO,https://www.cesop.unicamp.br/por/banco_de_dados/v/326,12/1988,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
128,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS / AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/327,12/1988,RIO DE JANEIRO-CAP/RJ,DATAFOLHA,False,IA_timeout
129,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/328,12/1988,BELO HORIZONTE/MG,DATAFOLHA,False,IA_timeout
130,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/331,12/1988,CURITIBA/PR,DATAFOLHA,False,IA_timeout
131,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/333,12/1988,PORTO ALEGRE/RS,DATAFOLHA,False,IA_timeout
132,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/334,12/1988,SALVADOR/BA,DATAFOLHA,False,IA_timeout
133,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/336,12/1988,RECIFE/PE,DATAFOLHA,False,IA_timeout
134,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/338,12/1988,FORTALEZA/CE,DATAFOLHA,False,IA_timeout
135,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/340,12/1988,BELÉM/PA,DATAFOLHA,False,IA_timeout
136,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/342,12/1988,GOIÂNIA/GO,DATAFOLHA,False,IA_timeout
137,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/344,12/1988,SÃO JOSÉ DO RIO PRETO/SP,DATAFOLHA,False,IA_timeout
138,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/345,12/1988,SANTOS/SP,DATAFOLHA,False,IA_timeout
140,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/349,12/1988,SANTO ANDRÉ/SP,DATAFOLHA,False,IA
141,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/351,12/1988,SÃO CAETANO DO SUL/SP,DATAFOLHA,False,IA_timeout
142,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/352,12/1988,DIADEMA/SP,DATAFOLHA,False,IA
144,DESARMAMENTO NUCLEAR,https://www.cesop.unicamp.br/por/banco_de_dados/v/356,12/1988,SOROCABA/SP,DATAFOLHA,False,IA_timeout
145,DESARMAMENTO NUCLEAR,https://www.cesop.unicamp.br/por/banco_de_dados/v/364,12/1988,ANGRA DOS REIS/RJ,DATAFOLHA,False,IA_timeout
146,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/365,12/1988,ANGRA DOS REIS/RJ,DATAFOLHA,False,IA_timeout
147,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/366,12/1988,CAMPINAS/SP,DATAFOLHA,False,IA_timeout
148,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/367,12/1988,SÃO JOSÉ DOS CAMPOS/SP,DATAFOLHA,False,IA_timeout
149,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/368,12/1988,OSASCO/SP,DATAFOLHA,False,IA_timeout
150,AVALIAÇÃO MAÍLSON/ SARNEY,https://www.cesop.unicamp.br/por/banco_de_dados/v/369,12/1988,CAPITAIS (VÁRIAS),DATAFOLHA,False,IA_timeout
151,VOTO JOVEM I - PRESIDENTE,https://www.cesop.unicamp.br/por/banco_de_dados/v/370,12/1988,CAPITAIS (VÁRIAS),DATAFOLHA,False,IA_timeout
153,PLANO ECONÔMICO - CHOQUE VERÃO,https://www.cesop.unicamp.br/por/banco_de_dados/v/372,01/1989,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
154,PLANO ECONÔMICO - CHOQUE VERÃO,https://www.cesop.unicamp.br/por/banco_de_dados/v/373,01/1989,BRASIL,DATAFOLHA,False,IA
155,PLANO ECONÔMICO - CHOQUE VERÃO (1 MÊS),https://www.cesop.unicamp.br/por/banco_de_dados/v/374,02/1989,SÃO PAULO-CAP/SP E RIO DE JANEIRO-CAP/RJ,DATAFOLHA,False,IA
157,HORÁRIO POLÍTICO NA TV / VOZ DO BRASIL,https://www.cesop.unicamp.br/por/banco_de_dados/v/375,02/1989,SÃO PAULO-CAP/SP E RIO DE JANEIRO-CAP/RJ,DATAFOLHA,False,IA_timeout
158,DELEGADOS A CONVENÇÃO PMDB EM BRASÍLIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/376,03/1989,BRASÍLIA/DF,DATAFOLHA,False,IA_timeout
159,PLANO ECONÔMICO - CHOQUE VERÃO (2 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/377,03/1989,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
160,PLANO ECONÔMICO - CHOQUE VERÃO (2 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/378,03/1989,RIO DE JANEIRO-CAP/RJ,DATAFOLHA,False,IA_timeout
161,SHOPPING AOS DOMINGOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/379,03/1989,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA
162,25 ANOS DO MOVIMENTO MILITAR DE 64,https://www.cesop.unicamp.br/por/banco_de_dados/v/380,03/1989,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA
163,AVALIAÇÃO PREFEITOS (3 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/381,04/1989,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA
164,PLANO ECONÔMICO - CHOQUE VERÃO (3 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/382,04/1989,SÃO PAULO-CAP/SP E RIO DE JANEIRO-CAP/RJ,DATAFOLHA,False,IA
165,AVALIAÇÃO GOVERNADOR ALAGOAS / COLLOR,https://www.cesop.unicamp.br/por/banco_de_dados/v/383,04/1989,ALAGOAS/AL,DATAFOLHA,False,IA
167,PLANO ECONÔMICO - CHOQUE VERÃO (4 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/385,05/1989,SÃO PAULO-CAP/SP E RIO DE JANEIRO-CAP/RJ,DATAFOLHA,False,IA
168,SALÁRIO MÍNIMO,https://www.cesop.unicamp.br/por/banco_de_dados/v/386,05/1989,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA
169,DIVULGAÇÃO DA PESQUISA ELEITORAL II,https://www.cesop.unicamp.br/por/banco_de_dados/v/387,05/1989,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
170,POPULARIZAÇÃO DA ECONOMIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/388,06/1989,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
172,SERVIÇO MILITAR,https://www.cesop.unicamp.br/por/banco_de_dados/v/390,06/1989,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
173,AVALIAÇÃO PREFEITOS (6 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/391,06/1989,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
174,VOTO NACIONAL I,https://www.cesop.unicamp.br/por/banco_de_dados/v/392,07/1989,BRASIL,IBOPE,False,IA_timeout
175,VOTO NACIONAL II,https://www.cesop.unicamp.br/por/banco_de_dados/v/393,07/1989,BRASIL,IBOPE,False,IA_timeout
176,VOTO NACIONAL III,https://www.cesop.unicamp.br/por/banco_de_dados/v/396,08/1989,BRASIL,IBOPE,False,IA_timeout
177,VOTO NACIONAL IV,https://www.cesop.unicamp.br/por/banco_de_dados/v/401,08/1989,BRASIL,IBOPE,False,IA_timeout
178,VOTO NACIONAL V,https://www.cesop.unicamp.br/por/banco_de_dados/v/402,08/1989,BRASIL,IBOPE,False,IA_timeout
179,VOTO NACIONAL VI,https://www.cesop.unicamp.br/por/banco_de_dados/v/409,08/1989,BRASIL,IBOPE,False,IA_timeout
180,FILMES DUBLADOS NA TV,https://www.cesop.unicamp.br/por/banco_de_dados/v/411,08/1989,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
181,JAZZ II - PREFERÊNCIAS E HÁBITOS MUSICAIS,https://www.cesop.unicamp.br/por/banco_de_dados/v/412,08/1989,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
182,MEIO AMBIENTE,https://www.cesop.unicamp.br/por/banco_de_dados/v/414,08/1989,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
183,INTENÇÃO DE VOTO PARA PRESEIDENTE V - 1989,https://www.cesop.unicamp.br/por/banco_de_dados/v/416,08/1989,BRASIL,DATAFOLHA,False,IA_timeout
